2015-06-02 23:16:53;0x30;0x8ee8f955L
2015-06-02 23:16:53;0x33;0x8ee8f955L
2015-06-02 23:16:56;0x33;0x8ee8f955L
2015-06-02 23:16:59;0x30;0x8ee8f955L
2015-06-02 23:17:01;0x31;0x9149f955L
2015-06-02 23:19:08;0x30;0x8ee8f955L
2015-06-02 23:19:09;0x33;0x8ee8f955L
2015-06-02 23:19:10;0x33;0x8ee8f955L
2015-06-02 23:19:12;0x33;0x8ee8f955L
2015-06-02 23:19:15;0x30;0x9149f955L
2015-06-02 23:19:16;0x31;0x8ee8f955L
2015-06-02 23:23:38;0x30;0x8ee8f955L
2015-06-02 23:23:42;0x31;0x9149f955L
2015-06-02 23:24:10;0x32;0x9149f955L
2015-06-02 23:24:15;0x30;0x8ee8f955L
2015-06-02 23:24:31;0x30;0x8ee8f955L
2015-06-02 23:24:31;0x31;0x9149f955L
2015-06-03 02:54:43;0x33;0xe574cf00L
2015-06-03 02:54:46;0x31;0x9149f900L
2015-06-03 02:54:47;0x34;0xeb20a1ffL
2015-06-03 02:54:49;0x32;0x9149f955L
2015-06-03 02:54:51;0x31;0x9149f900L
2015-06-03 02:54:52;0x32;0x9149f955L
2015-06-03 02:54:54;0x34;0x57200000
2015-06-03 02:54:55;0x31;0x9149f955L
2015-06-03 02:54:56;0x32;0x9149f900L
2015-06-03 02:54:57;0x31;0x9149f955L
2015-06-03 02:55:01;0x34;0x201500
2015-06-03 02:55:02;0x32;0x8ee8f955L
2015-06-03 02:55:03;0x31;0x8ee8f900L
2015-06-03 02:55:05;0x32;0x8ee8f955L
2015-06-03 02:55:07;0x34;0x200405
2015-06-03 02:55:08;0x33;0x82c9f955L
2015-06-03 02:55:08;0x33;0x82c9f955L
2015-06-03 02:55:10;0x33;0x82c9f900L
2015-06-09 09:11:43;0x34;0x5720d612
2015-06-10 03:19:16;0x34;0x57204312
2015-06-10 11:08:22;0x34;0x5720ac12
2015-06-11 00:35:31;0x34;0x57204d12
2015-06-11 18:30:42;0x33;0x82c9f955L
2015-06-11 18:30:45;0x31;0x8ee8f955L
2015-06-11 18:30:47;0x32;0x8ee8f900L
2015-06-11 20:59:34;0x34;0x57202b12
